text,sentiment,clean_text,predicted_sentiment,confidence
My #video for A.R.#Rahman's #songs crossed 300 views limit on #youtube ,1,video arrahmans songs crossed views limit youtube,1,0.7446450293382166
yeah well school tmrw i will be pretty sad. anyways youtube marathon over for right now. no FOB/ATL/CS/ or MS  FML badnight,0,yeah well school tmrw pretty sad anyways youtube marathon right fobatlcs ms fml badnight,0,0.8116135999806973
@skirrid that YouTube video is not embeddable  Needs an explanation...,0,youtube video embeddable needs explanation,1,0.5516091204103916
Google Wave looks really interesting ,1,google wave looks really interesting,1,0.8165618013858867
FOLLOW ME  George Tiller pro-life mtv movie awards google wave #twtrcon new moon susan boyle french open #moviemisquotes danny,1,follow george tiller prolife mtv movie awards google wave twtrcon new moon susan boyle french open moviemisquotes danny,1,0.8894550793042078
@LUVYATEAMEDWARD Is there a site you can watch it besides Youtube? Im behind a firewall at work. ,0,site watch besides youtube im behind firewall work,0,0.6220698395889349
@tipadaknife I've tried polish-&gt;english google translation and it's not very good ,0,ive tried polishgtenglish google translation good,1,0.5029514410685528
Rochak is saying hello to Bing.com. Lets see if it can hold a candle to Google.com ,1,rochak saying hello bingcom lets see hold candle googlecom,1,0.8659149127376842
"[1 retweets] Plays OK in Google Chrome, Not IE  â 'MUSIC â Freedom Movement: &quot;A Righteous Man&quot;' http://bit.ly/.. http://tinyurl.com/oh7pjw",0,retweets plays ok google chrome ie â music â freedom movement quota righteous manquot,1,0.701617989161009
@arturs ItÄ?lija - Roma Google Earth redzama arÄ« 3D ,1,itälija roma google earth redzama arä«,1,0.7365741991901795
cs so I can't even google it  youu?,0,cs cant even google youu,0,0.79995748812764
hello...just finish uploading video on youtube...btw youtube permanently disabled my old account... ,0,hellojust finish uploading video youtubebtw youtube permanently disabled old account,0,0.6438355561970297
"@MollieOfficial I'm watchin some videos from the tour on youtube, looks brilliant!   i want to go but use aren't coming to Ireland.",0,im watchin videos tour youtube looks brilliant want go use arent coming ireland,0,0.7194821960869555
"@codeshaman: what is this Personal Effects, Dark Art thing you're talking about? Google just provides links to your blog/twitter acct. ",0,personal effects dark art thing youre talking google provides links blogtwitter acct,1,0.7591628287395638
@trvsbrkr Mornin' Travi$! What's the song you posted last night? Youtube copyrights doesn't allow me to watch the video  have a nice day!,0,mornin travi whats song posted last night youtube copyrights doesnt allow watch video nice day,1,0.6384255767480528
"@krystalmeyers Hey Krystal, watch the movie, you will not be dissapointed  And watch the trailer for New Moon on youtube.",1,hey krystal watch movie dissapointed watch trailer new moon youtube,1,0.8628362182231183
@Rosie21 'This video is not avaliable in your country' I thought youtube was world wide ,0,video avaliable country thought youtube world wide,1,0.5187886927958614
YEAH!!! Met my goal for the week to get my Google Reader messages down to 0. I am sure they will start adding up as soon as I log out ,1,yeah met goal week get google reader messages sure start adding soon log,1,0.8046192388935249
Fuck this and fuck that. this being KRA's and that being Google Docs &gt; ,0,fuck fuck kras google docs gt,0,0.6271227506040926
REally hate when I get behind on my Google Reader and miss the deadline for a giveaway ,0,really hate get behind google reader miss deadline giveaway,0,0.9563907595752474
"@MzDAViS www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!!  &amp; FOLLOW me , Cheers x",1,videoscommentampsuscribe amp follow cheers x,1,0.8971638266922821
@thenewbnb There used to be one Google Translator joke with Aishwarya Rai and Milk. Total ROFL material. Sadly forgot. ,0,used one google translator joke aishwarya rai milk total rofl material sadly forgot,0,0.7925537324434584
http://www.youtube.com./watch?v=IUBkuZkwmn8&amp;feature=related GOSSIP GIRL MEETS THE NOTEBOOK  aww my two faves xxx,1,gossip girl meets notebook aww two faves xxx,1,0.7076567319004069
Loving freelancer writers...they are always such a mystery and I love googling them ,1,loving freelancer writersthey always mystery love googling,1,0.9185414697444565
@OfficialAkaye omg are u serious!!!  such an amazing tour!  r.i.p. ooc tour   &amp; will you be uploading girls aloud clips on your youtube?,0,omg u serious amazing tour rip ooc tour amp uploading girls aloud clips youtube,0,0.6226303732189058
I can't go to youtube... ,0,cant go youtube,0,0.8815724393931974
@JayElectronica Good Morning Chairman of the board! www.youtube.com/watch?v=ivFM0pYyUcy its a living thing....! ,1,good morning chairman board living thing,1,0.8514994391187432
skype and gmail in one day--thank god i am a fast learner ,1,skype gmail one daythank god fast learner,0,0.5420097672500006
leaving for work soon - on my way to best buy - woot!!!! - today the revolution hits the great white north - android for canadians - cool ,1,leaving work soon way best buy woot today revolution hits great white north android canadians cool,1,0.7849927818601418
@jemarihaqi revisi tka gue hehehe... Thx ya bantuin. Google lg lemot ,0,revisi tka gue hehehe thx ya bantuin google lg lemot,1,0.9340739776877868
@kurinatix ahhaha sa youtube ako nag upload ng old videos!  Hi din! hehe! ),1,ahhaha sa youtube ako nag upload ng old videos hi din hehe,1,0.7805965119042219
it is for me! its annoying me  i never realized how much i googled. and now i can't do anything. STUPID GOOGLE. its broken.,0,annoying never realized much googled cant anything stupid google broken,0,0.9652171795942074
"@sophia_tseng Pretty neat stuff, eh? btw, did you know I'm now working at Google? (Not that I had anything to do with Wave.  )",1,pretty neat stuff eh btw know im working google anything wave,1,0.7837931067377653
@taffysaint and I know that told you nowt. Flickr is connected to Yahoo... Picasa to Google. See... dumb blonde rules! ,1,know told nowt flickr connected yahoo picasa google see dumb blonde rules,1,0.7415985426274102
@mn_espngirl99 I can't watch them!!!  I really want to but I can't get the channel!!! I love watching the awards hope people Youtube them!,0,cant watch really want cant get channel love watching awards hope people youtube,0,0.840221639077047
"finally back home, but shivering (tho burning up)... google says it might be sunstroke. sob. if this is my final tweet, remember me well. ",0,finally back home shivering tho burning google says might sunstroke sob final tweet remember well,1,0.7020145403373736
is downloading all my fav hairspray songs forn youtube ,1,downloading fav hairspray songs forn youtube,1,0.8019983199107443
"Youtube's trying to break me, I swear. Must they take down ALL my videos? And they're all the ones I don't have saved to my laptop! Ughh! ",0,youtubes trying break swear must take videos theyre ones dont saved laptop ughh,0,0.8426577743590076
@justmad google analytics ,1,google analytics,1,0.7886481751355716
"@easegill good point - in meantime if already logged into a Google product, a direct link in Mahara to GDocs will act as SSO ",1,good point meantime already logged google product direct link mahara gdocs act sso,1,0.7678330760125431
The REAL google killer drives a street view car  http://bit.ly/SFTny (via @_frank_the_tank),0,real google killer drives street view car via,1,0.5352046912367502
@googleqsb How to do actions on selected items or text?? ,1,actions selected items text,1,0.6282898542618004
... sorry GPGMail ,1,sorry gpgmail,0,0.9832935308749147
@shiloh_dawg will you really? Thank you  Youtube videos aren't helping haha.,1,really thank youtube videos arent helping haha,1,0.887854078271015
@onurozer not as cool as googling ,1,cool googling,1,0.8429096264034956
Check out our Youtube Account!  Subscribe Ox,1,check youtube account subscribe ox,1,0.706782909590485
"While reading my google readers' list, I realized how much of people-I-read's life revolves around twitter ",0,reading google readers list realized much peopleireads life revolves around twitter,1,0.6662449857516829
@HollyHuddleston yo holly i cnt get it up on youtube!!  its only on my facebook. sooooooo....yah.,0,yo holly cnt get youtube facebook soooooooyah,0,0.6231200940344471
Listening To The Saturdays On Youtube!  And Uploading Photos From The Saturdays Onto Facebook =] xx,1,listening saturdays youtube uploading photos saturdays onto facebook xx,1,0.7529975083785994
@jessmauer no navy blue  http://twitpic.com/4gyvy See your gmail for full version ;),1,navy blue see gmail full version,1,0.7331775720142711
making a video of jonas brothers for youtube ,1,making video jonas brothers youtube,1,0.6858499951680987
@TheAndroidSite ya I couldn't pay my bill on it ,0,ya couldnt pay bill,0,0.5441354553129232
Google Wave signup page is busted in Google's Chrome browser. Interesting  - http://remnd.me/0r,1,google wave signup page busted googles chrome browser interesting,1,0.7754779750264768
Now that someone had me hooked on watching youtube videos!  i think im going to read for a little bit!,1,someone hooked watching youtube videos think im going read little bit,1,0.7042677584466124
...but still behind google ,0,still behind google,0,0.5243615317552297
"OMG!! im sooo lazyy... i can't believe im googling for a command/app to close the CD tray.. i tried telekinesis, didn't quite work though ",1,omg im sooo lazyy cant believe im googling commandapp close cd tray tried telekinesis didnt quite work though,0,0.9707550561564187
@mileycyrus omg a part of before the storm was leaked on youtube and fell in love with it!!! you are an inspiration to your peers &amp; me!! ,1,omg part storm leaked youtube fell love inspiration peers amp,1,0.6577198533684004
@ClareHeartsMAC can u add ur link. I can't find u on YouTube. ,0,u add ur link cant find u youtube,0,0.7575636031848147
"@iamlittleboots A father and son comedy dance act duo, it's funny  YouTube it!",1,father son comedy dance act duo funny youtube,1,0.7416332574702856
JACKASS on youtube. ,1,jackass youtube,1,0.6277869837636851
@carolista Whaaa? Should've read Tweets before I tweeted you lol. I'm off to Google it ,0,whaaa shouldve read tweets tweeted lol im google,1,0.6896417484471513
@emzzz321 So? You said to me &quot;Youtube is my home.&quot; Saaaaaaaahhhdd.... ,1,said quotyoutube homequot saaaaaaaahhhdd,1,0.7025936882864716
Can someone tell @msfeistus to Google &quot;fly speech&quot; and &quot;Titus Andronicus&quot;? I tried but it seems she's unfriended me ,0,someone tell google quotfly speechquot quottitus andronicusquot tried seems shes unfriended,0,0.6854825734533407
Hope that One day i will ba at the Google Zeitgeist  Good morning,1,hope one day ba google zeitgeist good morning,1,0.8201976605078001
@Chelseeyuh OMG ME TOO!!! HE'S PROBABLY MY FAVOURITE YOUTUBER!!! ,1,omg hes probably favourite youtuber,1,0.6320637821471394
"Trying 2 get @smudgemuffin and my webshow on Youtube, but it's not working!!!!!! ",0,trying get webshow youtube working,0,0.7479168522577165
haha i just watch a funny ass video on youtube  made my day,1,haha watch funny ass video youtube made day,1,0.9624175551799418
"If your brain was Google, and you hit Images and typed in 'Hypocrite', who would could up?   ",1,brain google hit images typed hypocrite would could,1,0.546499046540363
I google street view cities that i want to go to - but know that i never will.   so far paris - tokyo-  new york.,0,google street view cities want go know never far paris tokyo new york,0,0.7100042704243013
"I forgot the MTVMA's are on.. im SO pissed off!!!! I wanted to see Shia Labeouf so badly!  dam. Well, that's where Youtube comes in ;)",0,forgot mtvmas im pissed wanted see shia labeouf badly dam well thats youtube comes,0,0.884944015343587
quote from gaby: &quot;wtf is bing? and why are they trying to compete with google? Dont' they know google is ftw?&quot; even tho ms pays the bills ,1,quote gaby quotwtf bing trying compete google dont know google ftwquot even tho ms pays bills,1,0.5134077162292899
Youtube is getting bgoder on buzzing right now. Suspended is boldest #jbyoutubesuspended  Come on JoBro fans ,0,youtube getting bgoder buzzing right suspended boldest jbyoutubesuspended come jobro fans,0,0.5230963524454355
@green_i_girl I don't think we have Hickory Farms here.  I will have to Google it and see.,0,dont think hickory farms google see,0,0.5869536363346373
about to hop in the showeer! been busy todaay! Cali tomorrow! Got some shows! Make sure to check out the new video on youtube! ,1,hop showeer busy todaay cali tomorrow got shows make sure check new video youtube,1,0.8137811166611347
"@kabobbins lol, naw I can check my gmail. Just can't get on gchat ",0,lol naw check gmail cant get gchat,0,0.6362757430514625
