text,sentiment,clean_text,predicted_sentiment,confidence
@letteapplejuice it was fabulous to meet u also! Great day-just home now  shouldve gone to ur friends talk-ours was a bit dull...,0,fabulous meet u also great dayjust home shouldve gone ur friends talkours bit dull,1,0.5462653738814229
Damn I left town and forgot the charger for my iphone. Major ,0,damn left town forgot charger iphone major,0,0.9813741546586984
"Haven't got the PAC yet from Vodafone so no point going into an O2 shop on Friday to get a new iPhone, bah! Just have to rely on DHL ",0,havent got pac yet vodafone point going shop friday get new iphone bah rely dhl,0,0.7433365892445013
No new bed today.   !!!!!!  Perhaps I will get a free iPhone. #squarespace,0,new bed today perhaps get free iphone squarespace,1,0.590939048313403
@hash_iphone there's no way to restore it. bootneuter was used in unlocking it so no matter what i do its unlocked but unactivated ,0,theres way restore bootneuter used unlocking matter unlocked unactivated,1,0.5414753648644407
At work macbook connected to the company network then back in to the home network. Happy man ,1,work macbook connected company network back home network happy man,1,0.5473653633007305
I am now wife-less until Friday  now only a #squarespace iPhone could cheer me up,0,wifeless friday squarespace iphone could cheer,0,0.660882222938571
Getting some breakfast burritos w/M&amp;D  then off to Apple Store in Newport Beach to get my Internet in top working cond&amp;new keyboard 4 Pop ,1,getting breakfast burritos wmampd apple store newport beach get internet top working condampnew keyboard pop,1,0.6104716833804472
@Japple i used to dance to those lyrics at work...until i listened to them...i've been crying myself to sleep in guilt all week! ,0,used dance lyrics workuntil listened themive crying sleep guilt week,0,0.5120989382867962
am considering buying iphone 3GS as my first cell phone in USA. Only barrier to the decision is the price ,0,considering buying iphone gs first cell phone usa barrier decision price,0,0.7738585845311166
@ShayJanee I guess you can make her one but......she wont be able to use it...shes so deprived....the iPhone keeps crashing i'm going ape ,0,guess make one butshe wont able use itshes deprivedthe iphone keeps crashing im going ape,0,0.9223107965593565
@dwixi @rogerandre im doing good  Lost the sale on my Iphone so now STILL trying to sell it D:,1,im good lost sale iphone still trying sell,0,0.6564901652296609
@tipadaknife I've tried polish-&gt;english google translation and it's not very good ,0,ive tried polishgtenglish google translation good,1,0.5029514410685528
"@mathie I agree, unfortunately this is too late at this point  Could you file a bug nevertheless? http://bugreporter.apple.com",0,agree unfortunately late point could file bug nevertheless,0,0.8851870433331445
This Iphone thing keeps getting better and better lol they have a purple jacket for it FYI my favorite color lol  XX,1,iphone thing keeps getting better better lol purple jacket fyi favorite color lol xx,1,0.8041458472475371
@ceceliab EVERYTIME i go home to peoria i walk into apple and you arent there!!!!! jiggaboo i always get excited too then disappointed ,0,everytime go home peoria walk apple arent jiggaboo always get excited disappointed,0,0.8610520346578132
"@AppleJuice1234 idc, whatever you want to do. lmao, the slip n' slide is still in the box. i got it for just us. ",1,idc whatever want lmao slip n slide still box got us,1,0.5906024801630592
@KNoelB yeah kinda. All the apps are more compatible with the iPhone. Males life slot easier just no copy paste or multi task or bbm ,0,yeah kinda apps compatible iphone males life slot easier copy paste multi task bbm,0,0.6708288910697263
I am not gonna wake up in time for the laker parade euw. iphone upgrade nooowwwww ,0,gonna wake time laker parade euw iphone upgrade nooo,0,0.8224548976380547
@Chris_pinkapple  dont think its swine as thats meant to be mild. Im really pissed personally - i would have stayed home if id known ,0,dont think swine thats meant mild im really pissed personally would stayed home id known,0,0.7521339932598786
